Country,Gold,Silver,Bronze,Total,Year
Afghanistan,0,0,1,1,2008
Algeria,0,1,1,2,2008
Argentina,2,0,4,6,2008
Armenia,0,1,4,5,2008
Australia,14,15,17,46,2008
Austria,0,1,2,3,2008
Azerbaijan,1,1,4,6,2008
Bahamas,0,1,1,2,2008
Belarus,3,4,7,14,2008
Belgium,2,0,0,2,2008
Brazil,3,4,10,17,2008
Bulgaria,1,1,3,5,2008
Cameroon,1,0,0,1,2008
Canada,3,9,8,20,2008
Chile,0,1,0,1,2008
Chinese Taipei,1,1,2,4,2008
Colombia,0,2,1,3,2008
Croatia,0,2,3,5,2008
Cuba,3,10,17,30,2008
Czech Republic,3,3,1,7,2008
North Korea,2,2,2,6,2008
Denmark,2,2,3,7,2008
Dominican Republic,1,1,0,2,2008
Ecuador,0,1,0,1,2008
Egypt,0,0,2,2,2008
Estonia,1,1,0,2,2008
Ethiopia,4,2,1,7,2008
Finland,1,1,2,4,2008
France,7,16,20,43,2008
Georgia,3,2,2,7,2008
Germany,16,11,14,41,2008
Great Britain,19,13,19,51,2008
Greece,0,2,1,3,2008
Hungary,3,5,2,10,2008
Iceland,0,1,0,1,2008
India,1,0,2,3,2008
Indonesia,1,1,4,6,2008
Ireland,0,1,2,3,2008
Iran,1,0,1,2,2008
Israel,0,0,1,1,2008
Italy,8,9,10,27,2008
Jamaica,5,4,2,11,2008
Japan,9,8,8,25,2008
Kazakhstan,2,3,4,9,2008
Kenya,6,4,6,16,2008
Kyrgyzstan,0,1,2,3,2008
Latvia,1,1,1,3,2008
Lithuania,0,3,2,5,2008
Malaysia,0,1,0,1,2008
Mauritius,0,0,1,1,2008
Mexico,2,0,2,4,2008
Mongolia,2,2,0,4,2008
Morocco,0,1,1,2,2008
Netherlands,7,5,4,16,2008
New Zealand,3,2,4,9,2008
Nigeria,0,3,2,5,2008
Norway,3,5,1,9,2008
Panama,1,0,0,1,2008
China,48,22,30,100,2008
Poland,4,5,2,11,2008
Portugal,1,1,0,2,2008
South Korea,13,11,8,32,2008
Moldova,0,0,1,1,2008
Romania,4,1,4,9,2008
Russia,24,13,23,60,2008
Samoa,0,1,0,1,2008
Serbia,0,1,2,3,2008
Singapore,0,1,0,1,2008
Slovakia,3,3,0,6,2008
Slovenia,1,2,2,5,2008
South Africa,0,1,0,1,2008
Spain,5,11,3,19,2008
Sudan,0,1,0,1,2008
Sweden,0,4,1,5,2008
Switzerland,2,1,4,7,2008
Tajikistan,0,1,1,2,2008
Thailand,2,2,2,6,2008
Togo,0,0,1,1,2008
Trinidad and Tobago,1,1,0,2,2008
Tunisia,1,0,0,1,2008
Turkey,1,1,3,5,2008
Ukraine,7,4,11,22,2008
United States,36,39,37,112,2008
Uzbekistan,0,1,3,4,2008
Venezuela,0,0,1,1,2008
Vietnam,0,1,0,1,2008
Zimbabwe,1,3,0,4,2008
