NOC,Gold,Silver,Bronze,Total,Year
USA,36,39,26,101,2004
CHN,32,17,15,64,2004
RUS,28,26,36,90,2004
AUS,17,16,17,50,2004
JPN,16,9,12,37,2004
GER,13,16,20,49,2004
FRA,11,9,13,33,2004
ITA,10,11,11,32,2004
KOR,9,12,9,30,2004
GBR,9,9,12,30,2004
CUB,9,7,11,27,2004
HUN,8,6,3,17,2004
UKR,8,5,9,22,2004
ROU,8,5,6,19,2004
GRE,6,6,4,16,2004
BRA,5,2,3,10,2004
NOR,5,0,1,6,2004
NED,4,9,9,22,2004
SWE,4,2,1,7,2004
ESP,3,11,6,20,2004
CAN,3,6,3,12,2004
TUR,3,4,4,11,2004
POL,3,2,5,10,2004
NZL,3,2,0,5,2004
THA,3,1,4,8,2004
BLR,2,5,7,14,2004
AUT,2,4,1,7,2004
ETH,2,3,2,7,2004
IRI,2,2,2,6,2004
SVK,2,2,2,6,2004
TPE,2,2,1,5,2004
GEO,2,2,0,4,2004
BUL,2,1,9,12,2004
DEN,2,1,5,8,2004
UZB,2,1,2,5,2004
JAM,2,1,2,5,2004
MAR,2,1,0,3,2004
ARG,2,0,4,6,2004
CHI,2,0,1,3,2004
KAZ,1,4,3,8,2004
KEN,1,4,2,7,2004
CZE,1,3,5,9,2004
RSA,1,3,2,6,2004
CRO,1,2,2,5,2004
LTU,1,2,0,3,2004
SUI,1,1,3,5,2004
EGY,1,1,3,5,2004
INA,1,1,2,4,2004
ZIM,1,1,1,3,2004
AZE,1,0,4,5,2004
BEL,1,0,2,3,2004
ISR,1,0,1,2,2004
BAH,1,0,1,2,2004
DOM,1,0,0,1,2004
CMR,1,0,0,1,2004
UAE,1,0,0,1,2004
PRK,0,4,1,5,2004
LAT,0,4,0,4,2004
MEX,0,3,1,4,2004
POR,0,2,1,3,2004
FIN,0,2,0,2,2004
SCG,0,2,0,2,2004
SLO,0,1,3,4,2004
EST,0,1,2,3,2004
HKG,0,1,0,1,2004
IND,0,1,0,1,2004
PAR,0,1,0,1,2004
COL,0,0,2,2,2004
NGR,0,0,2,2,2004
VEN,0,0,2,2,2004
SYR,0,0,1,1,2004
TTO,0,0,1,1,2004
ERI,0,0,1,1,2004
MGL,0,0,1,1,2004
