Country,Gold,Silver,Bronze,Total,Year
Norway,14,14,11,39,2018
Germany,14,10,7,31,2018
Canada,11,8,10,29,2018
United States,9,8,6,23,2018
Netherlands,8,6,6,20,2018
Sweden,7,6,1,14,2018
South Korea,5,8,4,17,2018
Switzerland,5,6,4,15,2018
France,5,4,6,15,2018
Austria,5,3,6,14,2018
Japan,4,5,4,13,2018
Italy,3,2,5,10,2018
Olympic Athletes from Russia,2,6,9,17,2018
Czech Republic,2,2,3,7,2018
Belarus,2,1,0,3,2018
China,1,6,2,9,2018
Slovakia,1,2,0,3,2018
Finland,1,1,4,6,2018
Great Britain,1,0,4,5,2018
Poland,1,0,1,2,2018
Ukraine,1,0,0,1,2018
Hungary,1,0,0,1,2018
Australia,0,2,1,3,2018
Slovenia,0,1,1,2,2018
Belgium,0,1,0,1,2018
New Zealand,0,0,2,2,2018
Spain,0,0,2,2,2018
Kazakhstan,0,0,1,1,2018
Liechtenstein,0,0,1,1,2018
Latvia,0,0,1,1,2018
