Country,Year,Education Exp (%GDP)
Afghanistan,2006,4.68476057052612
Afghanistan,2007,4.17489528656006
Afghanistan,2008,4.38367223739624
Afghanistan,2009,4.81063985824585
Afghanistan,2010,3.4794499874115
Afghanistan,2011,3.4620099067688
Afghanistan,2012,2.60419988632202
Afghanistan,2013,3.45445990562439
Afghanistan,2015,3.2558000087738
Afghanistan,2016,4.54397010803223
Afghanistan,2017,4.34319019317627
Albania,2000,3.4301700592041
Albania,2001,3.45869994163513
Albania,2002,3.11779999732971
Albania,2003,3.13823008537292
Albania,2004,3.22751998901367
Albania,2005,3.28154993057251
Albania,2006,3.1914598941803
Albania,2007,3.27592992782593
Albania,2008,3.50922608375549
Albania,2010,3.41307497024536
Albania,2011,3.24000835418701
Albania,2012,3.30906105041504
Albania,2013,3.53929996490479
Albania,2015,3.43796992301941
Albania,2016,3.96209001541138
Albania,2017,3.61172008514404
Albania,2018,3.15294480323792
Albania,2019,3.91623997688293
Albania,2020,3.3422999382019
Albania,2021,3.02255988121033
Albania,2022,2.74432992935181
Algeria,2008,4.11142015457153
Algeria,2012,7.0295090675354
Algeria,2013,6.65906047821045
Algeria,2015,6.17633008956909
Algeria,2016,6.50210857391357
Algeria,2017,5.73482370376587
Algeria,2018,5.81275129318237
Algeria,2019,5.57536554336548
Algeria,2020,6.1939172744751
Algeria,2021,5.51403284072876
Algeria,2022,4.74924659729004
Algeria,2023,5.61015701293945
Argentina,2000,4.58030986785889
Argentina,2001,4.833740234375
Argentina,2002,4.01734018325806
Argentina,2003,3.53504991531372
Argentina,2004,3.48652005195618
Argentina,2005,3.86000990867615
Argentina,2006,4.12821006774902
Argentina,2007,4.46260023117065
Argentina,2008,4.84440994262695
Argentina,2009,5.53105020523071
Argentina,2010,5.01971006393433
Argentina,2011,5.29062986373901
Argentina,2012,5.34582996368408
Argentina,2013,5.43661022186279
Argentina,2015,5.77611017227173
Argentina,2016,5.54548978805542
Argentina,2017,5.45431995391846
Argentina,2018,4.87773990631104
Argentina,2019,4.7716498374939
Argentina,2020,5.27689981460571
Argentina,2021,4.64117002487183
Argentina,2022,4.80521011352539
Armenia,2000,2.77273011207581
Armenia,2001,2.46943998336792
Armenia,2002,2.13504004478455
Armenia,2003,2.1450400352478
Armenia,2004,2.48673009872437
Armenia,2005,2.71202993392944
Armenia,2006,2.71577000617981
Armenia,2007,3.01893997192383
Armenia,2008,3.17272996902466
Armenia,2009,3.84079003334045
Armenia,2010,3.24900007247925
Armenia,2011,3.14385008811951
Armenia,2012,2.77248001098633
Armenia,2013,2.65018010139465
Armenia,2015,2.80591011047363
Armenia,2016,2.75812005996704
Armenia,2017,2.70759010314941
Armenia,2018,2.25586795806885
Armenia,2019,2.57191228866577
Armenia,2020,2.70555996894836
Armenia,2021,2.76784992218018
Armenia,2022,2.4918999671936
Armenia,2023,0.242599993944168
Australia,2000,4.75933980941772
Australia,2001,5.22261571884155
Australia,2002,5.30569648742676
Australia,2003,5.24525785446167
Australia,2004,5.19307231903076
Australia,2005,5.27187633514404
Australia,2006,5.16309022903442
Australia,2007,4.96966886520386
Australia,2008,4.9018235206604
Australia,2009,5.39640665054321
Australia,2010,6.15043640136719
Australia,2011,6.00601577758789
Australia,2012,5.55924797058105
Australia,2013,5.5196270942688
Australia,2015,5.46285820007324
Australia,2016,5.43038558959961
Australia,2017,5.32125568389893
Australia,2018,5.40967607498169
Australia,2019,5.50858879089355
Australia,2020,5.37828016281128
Australia,2021,5.33320999145508
Australia,2022,5.20677661895752
Austria,2000,5.58880996704102
Austria,2001,5.57547998428345
Austria,2002,5.52213001251221
Austria,2003,5.36183023452759
Austria,2004,5.30243015289307
Austria,2005,5.24937009811401
Austria,2006,5.22652006149292
Austria,2007,5.14690017700195
Austria,2008,5.26395988464355
Austria,2009,5.73024988174438
Austria,2010,5.70047998428345
Austria,2011,5.59226989746094
Austria,2012,5.48040008544922
Austria,2013,5.54711008071899
Austria,2015,5.45658016204834
Austria,2016,5.4796199798584
Austria,2017,5.37159013748169
Austria,2018,5.22655010223389
Austria,2019,5.21779012680054
Austria,2020,5.57126998901367
Austria,2021,5.49411010742188
Austria,2022,4.77447128295898
Azerbaijan,2000,3.85399007797241
Azerbaijan,2001,3.50342011451721
Azerbaijan,2002,3.15445995330811
Azerbaijan,2003,3.2861499786377
Azerbaijan,2004,3.44770002365112
Azerbaijan,2005,2.97462010383606
Azerbaijan,2006,2.55552005767822
Azerbaijan,2007,2.5492799282074
Azerbaijan,2008,2.44092988967896
Azerbaijan,2009,3.22430992126465
Azerbaijan,2010,2.78062009811401
Azerbaijan,2011,2.43564009666443
Azerbaijan,2012,2.06763005256653
Azerbaijan,2013,2.44213008880615
Azerbaijan,2015,2.95167994499207
Azerbaijan,2016,2.90340995788574
Azerbaijan,2017,2.47381997108459
Azerbaijan,2018,2.45543003082275
Azerbaijan,2019,3.1764600276947
Azerbaijan,2020,4.33204984664917
Azerbaijan,2021,3.7020800113678
Azerbaijan,2022,3.04690003395081
Azerbaijan,2023,3.58290028572083
"Bahamas, The",2000,2.23284006118774
"Bahamas, The",2010,2.45165991783142
"Bahamas, The",2011,2.35576629638672
"Bahamas, The",2012,2.38704514503479
"Bahamas, The",2013,2.38595986366272
"Bahamas, The",2015,2.29697513580322
"Bahamas, The",2016,2.58660674095154
"Bahamas, The",2017,2.69140648841858
"Bahamas, The",2018,2.48519492149353
"Bahamas, The",2019,2.6171863079071
"Bahamas, The",2020,3.7900116443634
"Bahamas, The",2021,3.00693249702454
"Bahamas, The",2022,2.83657622337341
Bahrain,2006,2.87440991401672
Bahrain,2007,2.57500004768372
Bahrain,2008,2.49677991867065
Bahrain,2010,2.35114979743958
Bahrain,2011,2.31235384941101
Bahrain,2012,2.64530992507935
Bahrain,2013,2.47689008712769
Bahrain,2015,2.66808009147644
Bahrain,2016,2.80248284339905
Bahrain,2017,2.32781004905701
Bahrain,2018,2.38893985748291
Bahrain,2019,2.38460445404053
Bahrain,2020,2.55237460136414
Bahrain,2021,2.22135806083679
Bahrain,2022,1.98779726028442
Barbados,2000,4.71585988998413
Barbados,2001,6.05536985397339
Barbados,2002,5.88062000274658
Barbados,2003,6.24569988250732
Barbados,2004,6.02428007125854
Barbados,2005,5.66965007781982
Barbados,2007,5.22061014175415
Barbados,2008,4.92074012756348
Barbados,2009,5.11040019989014
Barbados,2010,6.05261993408203
Barbados,2012,5.25726985931396
Barbados,2013,5.13486003875732
Barbados,2015,5.17699909210205
Barbados,2016,4.68382978439331
Barbados,2017,4.34997987747192
Barbados,2018,5.13313722610474
Barbados,2019,4.0863299369812
Barbados,2020,4.16860008239746
Barbados,2021,4.863609790802
Barbados,2022,4.41624021530151
Barbados,2023,4.04476022720337
Belarus,2000,6.19661998748779
Belarus,2003,6.31018209457397
Belarus,2004,5.7122597694397
Belarus,2005,5.8710298538208
Belarus,2006,6.07696008682251
